employee_id,age,gender,marital_status,education,education_field,department,job_role,job_level,business_travel,distance_from_home_km,num_companies_worked,years_at_company,years_in_current_role,years_since_last_promotion,years_with_current_manager,monthly_income_usd,stock_option_level,num_projects_last_year,training_times_last_year,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,relationship_satisfaction,performance_rating,overtime,attrition,join_date
10025,37,Male,Married,2,Marketing,Marketing,Marketing Manager,1,Non-Travel,7,2,2,2,0,5,5963,0,4,3,2,4,2,2,3,4,No,No,2015-12-22
10026,29,Male,Divorced,3,Life Sciences,Finance,Finance Analyst,2,Travel_Frequently,4,0,4,2,0,2,13088,0,6,3,1,1,4,4,2,4,No,Yes,2016-04-19
10027,41,Male,Single,4,Life Sciences,Research & Development,Manufacturing Director,1,Travel_Rarely,8,8,0,0,11,1,4184,3,3,2,2,3,3,1,3,4,Yes,No,2020-08-27
10028,18,Female,Divorced,3,Technical Degree,Finance,Accountant,2,Travel_Frequently,8,1,2,2,0,1,18163,2,4,6,1,2,1,4,2,4,No,No,2016-03-27
10029,42,Male,Married,5,Technical Degree,Sales,Sales Representative,1,Travel_Rarely,13,2,0,0,3,1,8263,2,4,3,4,2,4,3,3,4,Yes,No,2017-01-05
10030,44,Female,Married,5,Human Resources,Sales,Sales Representative,1,Travel_Rarely,15,6,2,2,1,2,17773,0,4,2,4,4,3,2,2,3,No,Yes,2019-09-05
10031,31,Female,Married,5,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Frequently,6,3,0,0,1,0,9978,0,3,4,1,3,1,4,3,4,Yes,Yes,2019-07-23
10032,29,Male,Divorced,3,Marketing,Finance,Accountant,2,Travel_Frequently,14,7,0,0,4,3,9435,1,5,2,2,3,3,2,4,3,No,Yes,2017-02-16
10033,44,Female,Married,4,Marketing,Operations,Director,1,Travel_Rarely,6,1,0,0,1,5,10565,2,4,4,2,1,3,4,3,3,No,Yes,2018-02-05
10034,33,Male,Married,1,Other,Sales,Sales Representative,3,Travel_Rarely,3,9,13,3,0,1,6127,3,4,4,2,3,3,3,3,4,No,Yes,2020-08-03
10035,45,Female,Married,3,Marketing,Research & Development,Healthcare Representative,3,Travel_Rarely,28,4,14,2,0,0,9828,3,6,1,4,3,1,3,4,4,Yes,No,2017-04-29
10036,30,Female,Divorced,4,Life Sciences,Sales,Manager,1,Travel_Rarely,11,4,3,3,0,6,6901,2,4,0,4,3,3,2,3,3,No,No,2017-08-30
10037,45,Female,Divorced,4,Life Sciences,Research & Development,Healthcare Representative,2,Travel_Rarely,1,5,4,0,4,5,10324,1,6,6,3,2,4,4,3,4,No,Yes,2018-06-01
10038,24,Male,Married,5,Technical Degree,Research & Development,Research Scientist,3,Travel_Frequently,5,0,5,0,2,3,15271,2,3,5,1,2,1,3,4,4,No,Yes,2015-01-29
10039,31,Male,Divorced,3,Medical,Research & Development,Manufacturing Director,2,Travel_Rarely,1,0,0,0,0,7,14734,0,4,2,4,3,3,2,4,4,Yes,No,2020-06-03
10040,45,Female,Married,3,Life Sciences,Marketing,Marketing Representative,2,Travel_Rarely,8,3,3,1,1,0,8345,0,5,3,2,1,2,3,3,3,No,Yes,2017-12-23
10041,28,Male,Married,3,Life Sciences,Sales,Sales Representative,5,Travel_Rarely,1,0,18,2,2,2,20000,0,4,3,3,4,3,1,3,3,No,No,2019-09-06
10042,49,Male,Married,3,Marketing,Marketing,Marketing Representative,2,Travel_Rarely,5,2,0,0,0,0,16359,1,6,5,3,2,4,4,3,4,No,No,2021-06-14
10043,41,Female,Married,3,Human Resources,Research & Development,Laboratory Technician,2,Travel_Rarely,18,3,3,0,8,0,3457,0,5,3,3,1,1,2,3,4,No,No,2018-06-23
10044,49,Male,Married,3,Human Resources,Research & Development,Laboratory Technician,2,Travel_Rarely,9,1,0,0,1,2,15076,1,3,1,3,3,3,3,3,3,No,No,2021-05-23
10045,31,Female,Single,2,Marketing,Sales,Sales Representative,2,Travel_Rarely,1,3,5,1,0,0,3720,1,5,6,2,3,3,2,2,3,Yes,Yes,2016-05-04
10046,45,Male,Single,5,Medical,Research & Development,Manufacturing Director,1,Travel_Rarely,2,3,3,0,2,0,12124,1,7,1,2,3,2,2,2,4,No,No,2016-08-10
10047,42,Male,Married,2,Marketing,Finance,Finance Analyst,3,Travel_Frequently,12,5,8,0,2,4,11251,1,6,5,1,3,4,1,4,4,No,Yes,2017-07-05
10048,31,Female,Married,4,Marketing,Research & Development,Research Scientist,2,Travel_Rarely,5,4,1,0,1,0,4798,1,4,3,2,3,3,3,3,4,No,Yes,2021-09-12
10049,36,Female,Married,3,Medical,Operations,Specialist,2,Travel_Rarely,1,2,1,1,0,2,4566,1,5,3,2,2,2,4,3,4,No,No,2018-10-31
10050,47,Male,Single,2,Medical,Sales,Sales Executive,3,Travel_Rarely,2,0,10,1,1,0,12930,2,6,6,3,2,3,4,4,4,No,Yes,2018-01-05
10051,43,Male,Divorced,2,Marketing,Research & Development,Laboratory Technician,3,Travel_Rarely,1,2,5,2,0,5,4534,1,4,1,3,3,4,2,1,4,No,No,2019-10-02
10052,24,Male,Divorced,3,Medical,Research & Development,Research Scientist,2,Non-Travel,3,0,0,0,1,3,8871,1,5,3,3,3,3,1,3,4,Yes,No,2015-10-13
10053,40,Male,Divorced,3,Other,Human Resources,Human Resources,2,Travel_Frequently,22,6,4,2,1,1,12143,2,5,3,3,1,2,2,2,3,Yes,No,2019-08-21
10054,32,Female,Single,3,Life Sciences,Sales,Manager,2,Travel_Rarely,9,0,2,0,6,4,8786,0,3,4,2,4,3,4,3,4,No,No,2019-08-09
10055,41,Male,Single,3,Life Sciences,Marketing,Marketing Representative,2,Travel_Rarely,1,0,5,4,3,0,5206,1,5,2,3,2,2,3,4,4,No,No,2019-02-17
10056,40,Male,Divorced,2,Marketing,Research & Development,Research Scientist,1,Travel_Rarely,29,3,3,3,0,0,3154,2,6,2,4,1,3,3,1,4,Yes,Yes,2019-09-28
10057,18,Female,Married,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,5,0,2,2,1,1,7872,1,4,4,4,2,2,3,4,4,Yes,Yes,2015-03-28
10058,29,Male,Single,1,Medical,Sales,Manager,1,Travel_Rarely,13,0,1,0,1,5,20000,3,4,1,4,4,3,3,3,4,Yes,No,2016-01-05
10059,37,Female,Single,4,Medical,Sales,Manager,1,Non-Travel,10,1,4,2,0,6,11718,1,5,2,3,2,1,2,3,3,No,No,2020-04-11
10060,27,Male,Single,3,Human Resources,Research & Development,Manufacturing Director,1,Travel_Rarely,8,1,3,2,2,3,13236,0,3,2,3,3,2,3,1,4,No,No,2020-03-14
10061,48,Male,Married,3,Life Sciences,Operations,Specialist,2,Travel_Rarely,10,4,1,1,2,3,7827,2,6,2,4,3,3,3,3,4,Yes,Yes,2020-01-03
10062,47,Female,Married,3,Human Resources,Sales,Manager,1,Non-Travel,1,1,0,0,0,2,7127,2,5,2,3,3,2,2,3,3,Yes,No,2018-03-15
10063,43,Male,Married,3,Other,Sales,Manager,1,Travel_Rarely,1,2,1,1,0,0,16072,1,6,2,3,4,2,3,4,4,No,No,2020-05-10
10064,26,Male,Divorced,5,Medical,Research & Development,Healthcare Representative,1,Travel_Frequently,1,1,0,0,0,0,9567,3,4,2,4,4,1,1,2,3,No,Yes,2018-06-05
10065,19,Male,Single,3,Life Sciences,Sales,Sales Representative,1,Travel_Rarely,7,0,1,1,2,0,15272,0,5,4,4,1,3,4,3,4,Yes,No,2021-05-25
10066,46,Male,Married,3,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,5,2,7,2,1,4,3285,1,3,4,1,3,3,2,4,4,Yes,Yes,2021-03-10
10067,34,Female,Single,3,Medical,Sales,Sales Representative,5,Travel_Frequently,1,1,20,1,1,0,5721,1,3,2,3,1,2,2,3,4,No,No,2016-04-12
10068,44,Male,Single,4,Medical,Sales,Manager,2,Travel_Rarely,29,2,0,0,6,1,8434,0,5,3,2,2,4,3,2,4,No,No,2020-04-23
10069,41,Female,Married,3,Medical,Sales,Sales Executive,2,Travel_Rarely,3,1,0,0,0,0,8613,0,5,3,3,4,3,3,3,4,Yes,No,2016-12-24
10070,32,Male,Single,4,Human Resources,Sales,Manager,1,Travel_Frequently,2,1,0,0,2,5,10990,1,6,2,4,1,1,3,4,4,No,Yes,2015-05-22
10071,48,Female,Single,2,Technical Degree,Research & Development,Manufacturing Director,1,Travel_Frequently,3,3,3,3,6,3,8186,0,6,1,3,4,2,4,2,4,No,Yes,2020-11-06
10072,46,Male,Divorced,4,Marketing,Sales,Sales Executive,2,Travel_Rarely,9,4,0,0,3,2,6061,2,4,2,4,2,2,4,3,4,No,No,2017-10-28
10073,36,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,1,Travel_Rarely,27,1,0,0,1,2,15946,2,5,1,3,3,3,3,3,4,Yes,Yes,2019-01-30
10074,57,Male,Married,3,Human Resources,Operations,Manager,2,Travel_Rarely,1,0,3,0,5,1,7616,0,5,4,2,3,1,1,2,3,No,Yes,2015-01-01
10075,43,Female,Divorced,3,Technical Degree,Finance,Finance Analyst,1,Travel_Rarely,20,0,1,1,1,1,20000,2,4,5,4,3,4,1,3,4,No,No,2016-07-16
10076,41,Female,Single,4,Medical,Human Resources,Human Resources,2,Travel_Frequently,3,2,6,0,0,2,5877,0,6,0,3,2,1,3,2,4,No,No,2020-03-04
10077,35,Female,Single,3,Technical Degree,Research & Development,Healthcare Representative,2,Travel_Rarely,3,2,1,1,2,7,15468,0,5,0,2,1,3,3,3,4,No,No,2019-01-03
10078,26,Male,Married,3,Medical,Research & Development,Healthcare Representative,2,Non-Travel,15,5,0,0,4,2,10391,0,7,2,2,2,1,4,3,4,No,No,2015-12-31
10079,46,Male,Divorced,3,Marketing,Marketing,Marketing Manager,3,Travel_Rarely,8,0,6,1,1,2,8041,0,4,5,2,2,4,3,2,4,No,No,2019-09-05
10080,33,Female,Married,3,Medical,Sales,Sales Representative,3,Travel_Frequently,22,1,7,3,1,2,12039,1,4,3,1,4,4,3,1,4,Yes,No,2020-02-07
10081,27,Female,Single,5,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,2,3,1,1,0,4,6419,1,4,2,3,3,4,1,3,4,Yes,No,2015-01-25
10082,44,Male,Married,3,Marketing,Sales,Sales Executive,2,Travel_Frequently,18,0,5,0,0,0,15297,2,5,4,3,1,3,3,2,4,No,Yes,2018-08-06
10083,32,Female,Single,3,Life Sciences,Marketing,Marketing Representative,1,Travel_Rarely,11,0,0,0,2,0,6678,1,6,5,2,3,4,3,2,4,Yes,Yes,2017-04-29
10084,29,Female,Single,3,Other,Finance,Finance Analyst,2,Travel_Rarely,7,7,0,0,1,5,18276,2,7,3,3,3,4,3,3,4,Yes,No,2020-07-03
10085,41,Female,Married,4,Life Sciences,Human Resources,HR,2,Travel_Rarely,1,9,5,2,4,1,6634,0,5,2,1,3,4,2,3,4,Yes,Yes,2019-01-22
10086,45,Female,Married,3,Other,Human Resources,Human Resources,2,Travel_Rarely,13,2,1,1,2,4,20000,3,5,1,1,3,4,1,3,4,No,Yes,2016-01-22
10087,45,Male,Married,4,Marketing,Research & Development,Laboratory Technician,4,Travel_Rarely,1,0,10,1,2,4,6584,1,4,0,3,2,3,4,3,4,No,Yes,2016-04-28
10088,43,Male,Single,4,Human Resources,Marketing,Marketing Manager,2,Travel_Rarely,13,2,3,0,2,2,14515,0,4,4,4,3,4,3,3,3,Yes,No,2017-12-27
10089,48,Male,Single,1,Life Sciences,Human Resources,HR,1,Travel_Rarely,14,7,3,3,0,0,6180,2,5,3,1,2,1,3,3,3,No,No,2021-07-06
10090,30,Male,Married,3,Technical Degree,Marketing,Marketing Representative,3,Travel_Rarely,1,0,5,3,7,3,12076,3,5,6,3,4,3,2,3,4,No,No,2015-05-17
10091,32,Female,Single,3,Medical,Finance,Accountant,2,Non-Travel,4,1,3,3,2,1,12982,0,6,2,3,1,3,3,1,4,Yes,Yes,2021-06-29
10092,23,Male,Single,4,Marketing,Operations,Director,2,Travel_Frequently,16,1,0,0,1,5,10030,3,4,2,1,3,2,3,3,4,Yes,No,2019-05-01
10093,37,Female,Single,2,Medical,Sales,Sales Representative,2,Travel_Rarely,4,1,2,0,0,6,14708,2,5,0,1,3,3,3,4,4,No,Yes,2015-07-31
10094,31,Male,Single,3,Other,Sales,Manager,3,Travel_Frequently,7,0,6,0,2,0,6236,2,6,6,4,3,2,3,3,4,No,Yes,2015-06-02
10095,54,Male,Married,4,Technical Degree,Research & Development,Research Scientist,1,Travel_Rarely,2,4,2,0,0,0,20000,1,5,1,2,2,1,4,2,3,No,No,2019-04-17
10096,36,Female,Single,4,Other,Operations,Manager,1,Non-Travel,6,0,1,0,0,4,12717,1,3,6,3,3,3,3,2,4,No,Yes,2017-11-01
10097,43,Male,Single,5,Life Sciences,Research & Development,Manufacturing Director,2,Travel_Rarely,1,0,2,1,1,3,9250,1,4,5,1,4,2,3,3,4,No,Yes,2018-09-03
10098,37,Female,Married,5,Medical,Sales,Sales Executive,1,Travel_Rarely,8,0,0,0,0,2,4399,0,5,2,3,2,2,3,4,4,No,Yes,2015-04-10
10099,35,Female,Divorced,3,Life Sciences,Sales,Sales Executive,1,Travel_Rarely,10,0,4,2,3,0,5938,2,7,4,4,2,3,3,3,4,No,Yes,2021-08-23
10100,54,Female,Divorced,4,Technical Degree,Sales,Sales Executive,2,Non-Travel,8,0,6,1,1,3,13690,0,5,1,2,4,3,1,2,4,No,Yes,2020-06-16
10101,30,Male,Single,3,Medical,Research & Development,Manufacturing Director,1,Travel_Rarely,6,3,2,0,3,1,10205,0,6,6,4,2,4,4,4,3,No,Yes,2017-08-31
10102,34,Male,Single,3,Medical,Research & Development,Laboratory Technician,2,Travel_Frequently,15,6,0,0,0,5,8417,3,4,3,3,3,4,3,4,3,Yes,No,2017-10-26
10103,50,Male,Divorced,2,Life Sciences,Research & Development,Laboratory Technician,4,Travel_Rarely,11,2,10,0,0,0,11192,2,6,1,3,3,3,2,3,4,No,No,2015-04-25
10104,28,Male,Married,2,Medical,Research & Development,Healthcare Representative,1,Travel_Rarely,8,1,1,1,1,5,7501,0,5,3,2,4,3,3,3,4,No,No,2015-11-01
10105,34,Female,Single,1,Medical,Finance,Auditor,2,Travel_Rarely,6,2,7,2,0,1,10119,1,6,4,3,4,2,3,4,4,No,Yes,2021-02-10
10106,31,Male,Single,3,Life Sciences,Marketing,Marketing Representative,1,Travel_Rarely,4,2,2,2,0,6,11214,3,6,3,2,4,1,3,1,4,Yes,Yes,2021-06-19
10107,47,Female,Married,3,Medical,Finance,Auditor,1,Travel_Rarely,2,3,0,0,1,3,15048,1,4,5,3,2,2,4,3,4,No,Yes,2021-09-09
10108,31,Male,Single,2,Life Sciences,Research & Development,Laboratory Technician,2,Travel_Rarely,29,2,5,1,3,1,16173,1,6,2,3,2,3,4,3,4,Yes,No,2019-06-03
10109,33,Male,Married,3,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,17,0,1,0,2,4,20000,0,7,2,4,4,4,4,2,4,No,No,2020-08-08
10110,49,Male,Divorced,3,Medical,Research & Development,Laboratory Technician,1,Travel_Rarely,4,2,0,0,1,5,13895,1,4,3,1,4,3,3,3,3,No,No,2017-11-03
10111,45,Female,Divorced,4,Human Resources,Research & Development,Laboratory Technician,1,Travel_Rarely,1,2,0,0,2,4,8051,0,2,3,3,3,3,3,2,4,Yes,No,2018-01-22
10112,40,Female,Single,3,Other,Research & Development,Research Scientist,2,Travel_Rarely,2,0,4,2,4,0,9084,0,4,6,3,3,1,2,4,4,No,No,2017-08-02
10113,35,Male,Single,4,Medical,Marketing,Marketing Manager,2,Travel_Rarely,2,9,0,0,0,0,6494,0,5,1,3,1,4,1,3,4,No,Yes,2018-09-23
10114,32,Female,Married,4,Marketing,Marketing,Marketing Manager,2,Travel_Rarely,15,0,8,3,1,0,9067,1,3,1,4,2,3,3,2,4,No,Yes,2019-03-07
10115,18,Male,Married,3,Marketing,Operations,Manager,3,Travel_Rarely,7,3,5,0,6,0,20000,1,5,1,4,2,4,3,2,4,No,No,2015-08-08
10116,40,Male,Single,3,Life Sciences,Marketing,Marketing Manager,1,Travel_Rarely,6,1,1,0,0,1,7810,1,5,4,3,2,3,2,4,4,Yes,No,2020-06-19
10117,43,Male,Single,3,Marketing,Research & Development,Laboratory Technician,2,Non-Travel,3,9,7,7,0,0,11410,1,5,3,3,3,2,3,3,4,No,No,2019-09-14
10118,23,Male,Married,3,Life Sciences,Finance,Auditor,1,Travel_Rarely,23,0,0,0,3,4,8338,2,4,3,4,2,4,3,3,4,No,No,2019-01-13
10119,51,Male,Single,5,Other,Operations,Specialist,2,Travel_Rarely,17,2,1,1,0,0,16995,1,3,4,3,3,3,4,2,4,Yes,Yes,2015-07-03
10120,44,Female,Single,5,Medical,Sales,Sales Representative,2,Travel_Frequently,4,3,1,1,0,2,9332,1,4,1,3,3,3,3,4,4,Yes,Yes,2015-05-29
10121,36,Male,Single,2,Marketing,Marketing,Marketing Representative,1,Travel_Frequently,3,5,0,0,4,1,4763,1,2,6,2,3,3,2,1,4,Yes,Yes,2016-08-07
10122,40,Female,Married,2,Technical Degree,Finance,Auditor,2,Travel_Rarely,6,3,0,0,0,0,20000,2,4,1,3,3,2,3,4,3,Yes,No,2018-05-16
10123,26,Female,Married,2,Technical Degree,Marketing,Marketing Manager,3,Travel_Rarely,6,1,8,0,5,2,11619,1,2,2,4,2,3,4,4,4,No,Yes,2021-08-28
10124,38,Female,Single,3,Marketing,Research & Development,Manufacturing Director,1,Travel_Rarely,7,8,0,0,0,0,12863,0,2,4,3,4,1,3,3,4,Yes,No,2021-01-15
10125,49,Female,Married,5,Life Sciences,Sales,Manager,2,Travel_Rarely,5,0,2,0,2,1,20000,0,4,2,1,4,3,3,4,4,No,No,2018-11-12
10126,48,Male,Married,2,Marketing,Sales,Manager,3,Travel_Frequently,4,1,8,0,0,5,5719,0,5,2,2,3,3,4,4,4,Yes,No,2016-08-28
10127,32,Female,Married,3,Life Sciences,Sales,Sales Representative,1,Travel_Frequently,1,1,0,0,1,1,5797,0,5,1,4,4,2,2,4,4,No,No,2017-04-06
10128,34,Male,Married,4,Technical Degree,Research & Development,Healthcare Representative,2,Travel_Frequently,2,0,3,0,1,0,15371,0,4,1,3,2,2,3,2,3,No,Yes,2015-03-05
10129,32,Male,Married,3,Life Sciences,Operations,Manager,2,Travel_Rarely,9,9,2,0,0,0,6850,0,6,2,2,4,3,3,4,4,Yes,Yes,2020-02-03
10130,39,Female,Divorced,4,Life Sciences,Sales,Sales Representative,2,Travel_Rarely,15,1,0,0,5,2,1872,2,5,4,3,3,4,2,3,4,Yes,Yes,2018-11-10
10131,45,Male,Single,2,Marketing,Research & Development,Manufacturing Director,2,Non-Travel,1,0,1,0,2,0,12674,2,6,5,4,3,1,1,3,3,No,No,2019-09-08
10132,47,Female,Married,4,Human Resources,Human Resources,HR,2,Travel_Rarely,1,0,3,0,4,1,16568,1,6,2,4,1,4,3,3,4,No,No,2015-07-14
10133,34,Female,Divorced,3,Life Sciences,Finance,Auditor,1,Travel_Rarely,1,0,0,0,2,3,13278,0,2,4,3,2,3,3,2,3,No,No,2015-11-22
10134,22,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,1,Travel_Rarely,8,0,1,0,1,4,20000,1,5,4,1,1,4,4,3,3,No,Yes,2015-06-20
10135,36,Male,Single,3,Technical Degree,Sales,Sales Representative,2,Travel_Rarely,2,0,7,1,1,1,3871,0,5,1,1,4,2,3,3,4,Yes,No,2018-06-09
10136,49,Male,Single,4,Marketing,Sales,Manager,1,Travel_Rarely,14,9,3,0,0,1,4872,2,4,6,4,2,4,3,3,4,No,No,2016-12-20
10137,20,Male,Married,4,Life Sciences,Operations,Manager,3,Travel_Rarely,1,0,5,3,4,0,5056,1,5,2,2,3,3,3,2,4,No,Yes,2017-07-08
10138,44,Female,Single,2,Human Resources,Research & Development,Manufacturing Director,2,Non-Travel,15,3,0,0,1,2,20000,0,6,2,1,2,3,3,1,4,No,Yes,2015-01-19
10139,40,Male,Married,4,Marketing,Research & Development,Research Scientist,1,Travel_Frequently,2,1,4,1,4,1,7802,3,4,1,1,4,2,2,3,4,No,No,2020-12-21
10140,41,Male,Single,5,Human Resources,Research & Development,Research Scientist,2,Travel_Frequently,2,0,3,0,0,3,9536,1,5,4,1,3,1,4,4,4,No,Yes,2016-03-26
10141,32,Male,Married,4,Other,Research & Development,Research Scientist,3,Non-Travel,6,0,12,2,0,0,9185,0,4,1,2,3,3,1,4,4,No,Yes,2018-09-04
10142,32,Male,Married,2,Medical,Human Resources,HR,3,Non-Travel,10,1,5,3,0,3,20000,0,5,1,2,1,4,3,3,4,No,Yes,2017-11-03
10143,49,Male,Single,2,Technical Degree,Sales,Sales Executive,2,Non-Travel,7,5,4,1,0,1,15130,2,4,1,2,3,3,3,4,4,No,No,2015-03-26
10144,31,Male,Married,4,Medical,Sales,Sales Executive,2,Travel_Rarely,5,0,5,4,3,0,5527,2,2,1,3,4,2,2,3,4,No,No,2020-11-18
10145,32,Female,Married,3,Technical Degree,Sales,Sales Executive,1,Travel_Frequently,7,0,2,0,0,4,5889,0,6,5,3,1,3,4,2,4,No,Yes,2019-01-02
10146,22,Male,Married,4,Human Resources,Research & Development,Research Scientist,2,Travel_Frequently,7,2,4,0,0,1,20000,0,6,3,3,3,3,3,1,4,No,Yes,2015-03-08
10147,33,Female,Married,3,Medical,Sales,Sales Executive,2,Travel_Rarely,11,6,2,1,0,2,4770,2,5,5,4,2,3,2,4,4,No,No,2019-01-30
10148,49,Female,Married,5,Life Sciences,Operations,Manager,3,Travel_Rarely,23,4,11,1,1,1,7543,0,6,1,3,3,1,4,4,4,Yes,No,2021-07-06
10149,36,Male,Married,4,Marketing,Sales,Sales Representative,2,Travel_Rarely,5,3,0,0,0,3,9141,1,6,4,4,4,4,3,4,3,No,No,2018-11-13
10150,47,Male,Single,3,Marketing,Operations,Specialist,1,Travel_Rarely,29,4,2,0,7,2,17770,0,7,4,1,3,2,3,1,4,No,Yes,2017-07-09
10151,18,Male,Single,3,Medical,Operations,Director,4,Travel_Rarely,5,1,10,2,1,13,5353,1,7,3,3,4,2,4,3,4,No,No,2019-01-02
10152,39,Female,Married,4,Human Resources,Finance,Finance Analyst,2,Travel_Rarely,8,6,2,1,2,0,10937,0,3,1,2,1,3,3,2,4,No,Yes,2017-05-15
10153,39,Female,Married,3,Other,Operations,Director,5,Travel_Rarely,5,0,24,2,1,0,5889,2,3,4,2,3,4,3,4,3,No,No,2020-11-29
10154,28,Female,Married,1,Technical Degree,Operations,Director,3,Travel_Rarely,2,0,7,0,1,1,8052,2,3,3,2,2,1,4,1,4,Yes,No,2017-10-01
10155,51,Male,Married,3,Other,Research & Development,Manufacturing Director,1,Travel_Rarely,27,1,1,1,0,7,14958,1,4,1,4,3,3,2,3,3,No,No,2018-09-19
10156,33,Female,Single,3,Technical Degree,Finance,Auditor,3,Travel_Rarely,9,6,13,0,1,8,9223,2,5,4,4,3,4,4,3,4,Yes,No,2016-09-30
